urls,epg,playertype,logo,ua,url,ext,pass,timeout,api,catchup,type,name
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://我不是.肥猫.live/TV/tvzb.txt,,,,,,0,肥猫
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,./libs/tv/tvlive.txt,,,,,,0,SAO0
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,./lib/tv/ipv6.m3u,,,,,,0,IPV6
,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},2,https://epg.v1.mk/logo/{name}.png,,https://github.moeyy.xyz/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u,,,,,,0,V4聚合（卡顿请按左┃右键换线）
,,2,,,https://github.moeyy.xyz/https://raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,,,,,0,V6范明明
,,2,,okhttp/3.15,http://tv.iill.top/m3u/Live,,,,,,0,平台直播
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://meowtv.top/zb,,,,,,0,直播
,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,https://gh-proxy.com/https://raw.githubusercontent.com/yoursmile66/TVBox/refs/heads/main/live.txt,,,,,,0,Yoursmile
,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:35457/tv.m3u,,,,,,0,feiyang.allinone
,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:35457/bililive.m3u,,,,,,0,feiyang.bililive
,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:35457/huyayqk.m3u,,,,,,0,feiyang.huyayqk
,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:35457/douyuyqk.m3u,,,,,,0,feiyang.douyuyqk
,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:35457/yylunbo.m3u,,,,,,0,feiyang.yylunbo
,,1,,,http://150.158.112.123/live.txt,,,,,,0,直播
,,1,,,https://ghfast.top/raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,,,,,0,范明明
